,Question,A,B,C,D,Answer,Subject,,,,,,,,,,,,,,,,,
8,"Br?ss ir homoseksu?ls v?rietis. Vi?a draugs ?aks ir heteroseksu?ls v?rietis. Ja m?s b?tu var?ju�i nov?rot Br?su un ?aku b?rn?b?, m?s var?tu sagaid?t, kuru no �iem apgalvojumiem?","Br?ss, visticam?k, piedal?j?s vair?k sieviet?m tipisk?s rota??s nek? ?aks.","Br?ss, visticam?k, piedal?j?s vair?k v?rie�iem tipisk?s rota??s nek? ?aks.","Br?ss un ?aks, visticam?k, piedal?j?s vair?k v?rie�iem tipisk?s rota??s nek? sieviet?m tipisk?s rota??s.","Br?sa t?vam, visticam?k, bija homoseksu?las tendences nek? ?aka t?vam.",A,human_sexuality,,,,,,,,,,,,,,,,,
219,Kuru no turpm?k min?tajiem poste?iem individu?la uz??muma ?pa�niekam parasti klasific? k? pamatl?dzekli feder?l? ien?kuma nodok?a vajadz?b?m?,Debitoru par?di,Tirgojami v?rtspap?ri,Uz??m?jdarb?b? izmantot?s iek?rtas un apr?kojums,Kr?jumi,B,professional_accounting,,,,,,,,,,,,,,,,,
14,"?emot v?r? ""ofens?vo"" un ""defens?vo re?lismu"", kur� no �iem apgalvojumiem nav pareizs?","Ofens?vais re?lisms defin? starptautisko sist?mu k? vidi, kur? valstis cen�as pan?kt dro�?bu, ieg?stot varu.","Defens?vais re?lisms uzskata sadarb?bu par veidu, k? valstis var pan?kt dro�?bu.","Gan defens?vais re?lisms, gan ofens?vais re?lisms uzskata varu un konkurenci par l?dzekli, ar kura pal?dz?bu var pan?kt valsts dro�?bu.","Ofens?vais re?lisms teor?tiski nosaka, ka valstis, ja iesp?jams, cent?sies pan?kt hegemoniju.",C,security_studies,,,,,,,,,,,,,,,,,
348,"Stresa imuniz?cijas apm?c?ba ietver gan prasmju apm?c?bu, gan neadapt?vo kognit?vo paradigmu modific?�anu. Kuru no �iem posmiem jauns nepieredz?jis terapeits defin? nepareizi:","PRAKSE? piem?ro m?c?�anos re?l?s vai iedom?t?s situ?cij?s, ko veic pak?peniski","IESP?JU AKV?ZIJA? relaks?cijas, pa�izteikumu, gl?b�an?s ce?u apg?�ana, kas nav nepiecie�ama, tos atk?rtojot","KOGN?CIJAS PRIEK�V?RT?�ANA? izgl?to�ana par to, k? k??dainas kogn?cijas kav? adapt?vu p?rvar?�anu","IESP?JU AKV?ZIJA? jaunu prasmju apguve un atk?rto�ana relaks?cija, pa�izteikumi, gl?b�an?s ce?i",B,professional_psychology,,,,,,,,,,,,,,,,,
24,Burdj? pied?v?ja �?iru reproduc?�anu:,kapit?la kultam,kapit?la kult?rai,kult?ras kapit?lam,vain?go sag?st?�anai,C,sociology,,,,,,,,,,,,,,,,,
142,"Baski, bretonie�i, ka�mirie�i un tamili ir piem?ri",re?ion?listu grup?m.,separ?tistu grup?m.,teroristu grup?m.,intervencionistu grup?m.,B,high_school_geography,,,,,,,,,,,,,,,,,
208,"Ar feder?lo likumu feder?l?s minim?l?s algas pras?bas tiek attiecin?tas uz visiem ??misk?s t?r?tavas veikaliem. Stat?tos ir skaidri noteikts, ka ??misk?s t?r?tavas darbinieku algas kop? b?tiski ietekm? valsts ekonomiku un pre?u un pakalpojumu pl?smu starpvalstu tirdzniec?b?. �ie secin?jumi ir pamatoti ar inform?ciju, kas sniegta Kongresam, uzklausot komitejas s?d?s par ties?bu aktu. Neliels ??misk?s t?r?tavas veikals darbojas tikai ?eogr?fiski liela �tata centr? eso�? kopien?. Tam nav klientu ?rpus �tata. Taj? ir nodarbin?ti tr?s darbinieki, no kuriem katrs sa?em algu, kas ir maz?ka par feder?lo minim?lo algu. Vai �im ??misk?s t?r?tavas veikalam ir j?iev?ro likums, kas nosaka feder?l?s minim?l?s algas pras?bas visiem ??misk?s t?r?tavas veikaliem?","N?, jo veikals neveic uz??m?jdarb?bu starpvalstu tirdzniec?b?.","N?, jo veikala tr?s darbinieku algas b?tiski neietekm? starpvalstu tirdzniec?bu.","J?, jo tirdzniec?bas klauzula pie�?ir Kongresam likumdo�anas pilnvaras darba attiec?bu jom?.","J?, jo ??misk?s t?r?tavas veikalu maks?t?s algas b?tiski ietekm? starpvalstu tirdzniec?bu.",D,professional_law,,,,,,,,,,,,,,,,,
44,Cits nosaukums k??dainajai reduc?�anai l?dz absurdam ir,tu quoque,ad baculum,ad hominem,reductio ad absurdum,D,logical_fallacies,,,,,,,,,,,,,,,,,
159,"Kur? no �iem diviem scen?rijiem galvenais varonis dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs 1 | Es pazi?oju, ka nevaruz ierasties darb? uz slim?bas pamata, jo grib?ju doties uz pludmali. 2. scen?rijs | Es metu b?rnu draudzenei, un vi?a to neno??ra.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",A,moral_scenarios,,,,,,,,,,,,,,,,,
14,"K?ds keramikas stila apz?m?jums galu gal? tika lietots visam kult?ras kompleksam, kas p?rvietoj?s p?ri Klusajam oke?nam?",Clovis,Nenana komplekss,Lapita,Mikron?zijas keramikas trad?cija,C,prehistory,,,,,,,,,,,,,,,,,
146,Maz?k?s noz?mes vien?bas valod? ir,fon?mas,fenotipi,semantika,morf?mas,D,high_school_psychology,,,,,,,,,,,,,,,,,
61,"Kuras no �?m uztur? sastopamaj?m sast?vda??m liels pat?ri?� veicina pa?trin?tu kognit?vo sp?ju pasliktin?�anos?
",Og?hidr?ti ar augstu glik?misko indeksu,Augsta n-6:n-3 tauku attiec?ba,Garas ??des pies?tin?tie tauki,Visi iepriek� min?tie,D,nutrition,,,,,,,,,,,,,,,,,
226,"Kura no turpm?k min?taj?m darb?b?m vislab?k pal?dz?s skolot?jam apkopot datus, kas ?aus inform?t skolot?jus, lai apmierin?tu skol?nu individu?l?s vajadz?bas?",Koncentriskie ap?i,K-W-L diagramma,Gr?matu pas?�a,Savstarp?ja m?c?�ana,B,miscellaneous,,,,,,,,,,,,,,,,,
119,"Procesu, kur? k?du uzdevumu vai uzdevumu grupu uztic ?rpakalpojumu sniedz visp?r?gi lielai cilv?ku grupai, d?v? par:",Soci?lo mediju m?rketingu.,Interneta rekl?ma.,P??a piesaiste,E-m?rketings.,C,marketing,,,,,,,,,,,,,,,,,
867,"Kur? no �iem diviem scen?rijiem galvenais varonis dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs | Es ieb?zu popkornu r?v?jsl?dz?ja maisi??. 2. scen?rijs | Es mierin?ju savu slimo un bezpal?dz?go suni p?c tam, kad vi?� v?ma uz pakl?ja.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,,,,,,,,,,,,,,,,,
458,"Amerik??u patriots Pols Reverijs tika nosaukts par t?vu, kura s?kotn?jais v?rds bija kas?",D�ons Pols Reverijs,Pols Silvers,Apollos Rivoire,Paolo Reverini,C,miscellaneous,,,,,,,,,,,,,,,,,
100,"D�ozefs Pr?stlijs atkl?ja sk?bek?a g?zi, sadaloties cietajam dz?vsudraba(II) oks?dam HgO l?dz sk?bek?a g?zei O2 un �?idrajam dz?vsudraba met?lam Hg. Cik moli sk?bek?a g?zes veidosies, sadaloties 4,32 g cieta dz?vsudraba(II) oks?da? Dz?vsudraba(II) oks?da masa p?c formulas ir 216 g mol^-1.","0,100 mol","0,0100 mol","0,0200 mol","0,0150 mol",B,high_school_chemistry,,,,,,,,,,,,,,,,,
86,"Kur� no �iem aprakstiem vislab?k raksturo to, ko diskriminat?v?s pieejas m??ina model?t? (w ir mode?a parametri)","p(y|x, w)","p(y, x)","p(w|x, w)",Neviens no iepriek� min?tajiem,A,machine_learning,,,,,,,,,,,,,,,,,
209,"Cilv?ks, kur� cen�as apmierin?t savas vajadz?bas visvienk?r�?kaj? l?men?, darbojas Maslova vajadz?bu hierarhijas l?men?, ko sauc par vajadz?bu p?c:",Pa�realiz?cijas.,Pa�v?rt?juma.,Fiziolo?iskaj?m vajadz?b?m.,Pieder?bas.,C,marketing,,,,,,,,,,,,,,,,,
42,Kur? no turpm?k min?taj?m valst?m 2019. gad? bija viszem?kais paredzamais dz?ves ilgums?,Braz?lija,??na,Meksika,Ir?na,C,global_facts,,,,,,,,,,,,,,,,,
114,"Al?le, kas ir mask?ta, tiek d?v?ta par:",reces?vo.,lieko.,nom?kto.,ekskluz?vo.,A,clinical_knowledge,,,,,,,,,,,,,,,,,
70,"Kur� no turpm?k min?tajiem posmiem ir jauna produkta izstr?des procesa posms, kas tiek veikts, kad jaunu produktu test? ar klientu izlasi vai lai nov?rt?tu klientu reakciju pirms lai�anas tirg? noteikt? ?eogr?fisk? apgabal??",Testa m?rketings.,M?r?tiec?gs m?rketings.,Tie�ais m?rketings.,Visp?r?gais m?rketings.,A,marketing,,,,,,,,,,,,,,,,,
27,K? parasti tiek ?rst?ta endometrioze?,antiprosagland?nu z?les,prostagland?nu z?les,hormoni,aspir?ns,C,human_sexuality,,,,,,,,,,,,,,,,,
103,"Simbolisk?s mijiedarb?bas teorij? M?ds defin?ja ""visp?rin?to citu"" k?:","sabiedr?bas struktur?lo teoriju grupu, pret kuru vi?� rea??ja","kop?jo iespaidu par sevi, ko m?s cen�amies rad?t citiem","noz?m?gu person?�u agr? b?rn?b?, kas mums m?ca sabiedr?bas visp?r?j?s v?rt?bas","priek�statu par to, k? cilv?ki pla�?k? sabiedr?b? var?tu uztvert m?su uzved?bu",D,sociology,,,,,,,,,,,,,,,,,
782,"Pras?t?ja ies?dz?ja ties? vi?as kaimi?os eso�u r?pniec?bas uz??mumu par gaisa pies?r?ojuma rad?tiem vesel?bas trauc?jumiem. Tiesas s?d? pras?t?jai tie�? p?rbaud? tika uzdoti jaut?jumi par dien?m, kur?s vi?a nov?roja lielu putek?u daudzumu gais?, un par to, cik ilgi �is st?voklis ir bijis ilgsto�s. Vi?a liecin?ja, ka nevar atcer?ties konkr?tus laikus, bet vi?a ir vedusi dienasgr?matu, kur? katru dienu prec?zi re?istr?jusi �o inform?ciju. Kad vi?as advok?ts aicin?ja atsvaidzin?t vi?as atmi?as, izmantojot dienasgr?matu, vi?a joproj?m nevar?ja atcer?ties. Pras?t?jas advok?ts l?dz, lai dienasgr?mat? ietvert? inform?cija tiktu atz?ta ties?. Vai �? inform?cija ir pie?emama?","N?, jo t?s p?rskat?�ana neatjaunoja pras?t?jas atmi?u.","N?, ja vien to nepied?v? atbild?t?js.","J?, un pras?t?jai b?tu j?dod iesp?ja izlas?t to k? pier?d?jumu vai ar? dienasgr?mata b?tu j?pie?em k? pier?d?jums.","J?, un pras?t?jai b?tu j??auj izlas?t dienasgr?matu k? pier?d?jumu.",D,professional_law,,,,,,,,,,,,,,,,,
532,"Cilv?kiem stiebr�?nas, at�?ir?b? no ?iekur�?n?m,",atrodas t?klenes centr?.,veido sinapses ar bipol?raj?m �?n?m.,?tr?k rea?? uz spilgt?m kr?s?m.,ir ar zemu absol?to gaismas slieksni.,D,high_school_psychology,,,,,,,,,,,,,,,,,
66,Kur� no �iem aprakstiem vislab?k raksturo morf?na iedarb?bu?,Samazina s?pju intensit?ti un palielina modr?bu.,"Samazina s?pju intensit?ti, bet izraisa ar? sed?ciju.","Samazina s?pju intensit?ti, bet izraisa ar? caureju.","Samazina s?pju intensit?ti, bet izraisa ar? bezmiegu.",B,clinical_knowledge,,,,,,,,,,,,,,,,,
1306,"P?ts Smits ir akt?vais partneris, bet Bils D�onss ir klusais partneris pilnsabiedr?b? ar nosaukumu ""Pete Smith Plumbing"" P?c se�iem gadiem, kad Bils nav iesaist?jies person?lsabiedr?bas uz??muma vad?b?, vi?� ieg?d?jas 100 tualetes. P?ts ir sa�utis, jo, lai izlietotu tik daudz tuale�u, iesp?jams, b?s vajadz?gi gadi, un l?dz padomu. Lab?kais padoms ir �?ds:",Bils ar savu r?c?bu var saist?t person?lsabiedr?bu.,klusie partneri ir tikai investori un nevar saist?t person?lsabiedr?bu.,"Ja vien vi?a v?rds nav nor?d?ts person?lsabiedr?bas nosaukum?, tre�?s personas ""uzzina"", ka vi?� nav pilnvarots sl?gt l?gumus person?lsabiedr?bas v?rd?.","Bils k? klusais partneris nav pilnvarots pirkt, un t?p?c p?rdo�anu var atcelt.",A,professional_law,,,,,,,,,,,,,,,,,
70,"Postmodernistu rakstnieki ir apgalvoju�i, ka:","m?s dz?vojam virspus?ju, fragment?ru t?lu pasaul?","neviena teorija nav lab?ka par jebkuru citu: ""viss ir iesp?jams""","sabiedr?ba ir main?jusies, un mums ir vajadz?gas jauna veida teorijas",viss iepriek� min?tais,A,sociology,,,,,,,,,,,,,,,,,
6,Kura no �?m viel?m ir bezmugurkaulnieku im?nsist?mai?,Citotoksiskie T-limfoc?ti,Fagoc?ti,B-limfoc?ti,Pal?g�?nas T-limfoc?ti,B,high_school_biology,,,,,,,,,,,,,,,,,
37,"Uz??m?jus un investorus p?rst?vo�?s intere�u grupas bie�i vien ir vienas no veiksm?g?kaj?m lobiju grup?m Va�ington?, visu turpm?k min?to iemeslu d??, IZ?EMOT","�?d?m grup?m ir finan�u resursi, lai r?kotu ilgsto�as kampa?as sav? v?rd?.","Daudzas �?das grupas darbojas vair?kus gadu desmitus vai ilg?k, kas ?auj t?m apg?t likumdo�anas sist?mu un izveidot cie�us sakarus ar likumdev?jiem.",Daudzos apgabalos �o grupu v?l?t?ji veido v?l?t?ju vair?kumu.,�o grupu v?l?t?ji dod lielu ieguld?jumu daudzu likumdev?ju kampa??s un t?d?j?di ieg?st lab?ku pieeju likumdev?jiem.,C,high_school_government_and_politics,,,,,,,,,,,,,,,,,
128,Kur? no �iem punktiem uz??mumam bilanc? j?atz?st nemateri?l? v?rt?ba?,"Izmaksas ir radu�?s, veidojot nemateri?lo v?rt?bu.","Nemateri?l? v?rt?ba ir rad?ta, ieg?d?joties uz??mumu.",Uz??mums sagaida n?kotnes ieguvumus no nemateri?l?s v?rt?bas rad?�anas.,Uz??muma akt?vu paties? tirgus v?rt?ba p?rsniedz uz??muma akt?vu uzskaites v?rt?bu.,B,professional_accounting,,,,,,,,,,,,,,,,,
81,"Ja nepiecie�ama neatliekama elpce?u atv?r�ana, krikoid?l? membr?na ir j?p?rdur nekav?joties.",augst?k par vairogdziedzera skrim�?iem.,zem?k par vairogdziedzera skrim�?iem.,zem?k par krikoid?lo skrim�li.,augst?k par vairogdziedzera �aurumu.,B,anatomy,,,,,,,,,,,,,,,,,
198,"Da�iem mikrouzturviel?m ir izstr?d?ti ""bio??miskie funkcion?lie r?d?t?ji"", lai nov?rt?tu viena vai vair?ku bio??misko ce?u atbilst?bu, kas prognoz?jami rea?? uz konkr?t?s mikrouzturvielas statusa izmai??m. Viens no piem?riem ir metilmalonsk?be serum? k? bio??miskais funkcion?lais indekss B12 vitam?na statusa noteik�anai. K?ds ir �?du bio??misko funkcion?lo indeksu m?r?jumu galvenais m?r?is?
",Prec?z?k nov?rt?t ar uzturu uz?emto mikrouzturvielu daudzumu.,"P?rvar?t trauc?jumus, piem?ram, ar ak?tu f?�u saist?tu ietekmi.","Kori??t uzturvielu zudumus, piem?ram, izdaloties ar ur?nu.","Nodro�in?t papildu statusa nov?rt?jumu, ar kuru var noteikt kritisko audu pietiekam?bu un t?d?j?di ar? kl?niskas slim?bas vai fiziolo?iskas darb?bas trauc?jumu risku.",D,nutrition,,,,,,,,,,,,,,,,,
177,"Vesel?bas departaments pl?no p?rbaud?t svina l?meni konkr?t? park?. T? k? augsts svina l?menis ir kait?gs b?rniem, parks tiks sl?gts, ja svina l?menis p?rsniegs at?auto robe�u. Departaments p?c nejau�?bas principa izv?las vair?kas vietas park?, ?em augsnes paraugus no �?m viet?m un p?rbauda paraugus, lai noteiktu svina l?meni tajos. Kur� no turpm?k min?tajiem l?mumiem b?tu I tipa k??das rezult?ts?","Sl?gt parku, ja svina l?menis nep?rsniedz at?auto robe�u","Saglab?t parku atv?rtu, ja svina l?menis p?rsniedz at?auto robe�u","Sl?gt parku, ja svina l?menis p?rsniedz at?auto robe�u","Saglab?t parku atv?rtu, ja svina l?menis nep?rsniedz at?auto robe�u",A,high_school_statistics,,,,,,,,,,,,,,,,,
258,"Fragments no Zoras N?las H?rstones gr?matas ""Vi?u acis v?roja Dievu"" ir �?ds. Visi cilv?ki redz?ja vi?u atn?kam, jo bija saulriets. Saule bija aizg?jusi, bet debes?s bija atst?jusi savas p?das. Tas bija laiks, kad var?ja s?d?t uz lieve?iem pie ce?a. Tas bija laiks, kad var?ja klaus?ties un run?t. �?s s?dvietas visu dienu bija bez m?les, bez aus?m, bez ac?m. Vi?u ?das bija aiz??mu�i m??i un citi zv?ri. Bet tagad saule un priek�nieks bija prom, t?p?c ?das jut?s sp?c?gas un cilv?c?gas. T?s k?uva par ska?u un maz?ku lietu valdniec?m. Vi?i caur sav?m mut?m nodeva tautas. Vi?i s?d?ja tiesas priek�?. Kur� no �iem liter?rajiem pa??mieniem ir iek?auts saules aprakst? otraj? teikum??",Priek�nojauta,Ironija,Atskat?�an?s,Personifik?cija,D,miscellaneous,,,,,,,,,,,,,,,,,
156,"Vorners un Mird?ls apgalvoja, ka biju�ie meln?dainie vergi nepievienoj?s Zieme?amerikas pils?tu ""etniskajam kaus?�anas katlam"", jo:","baltie iedz?vot?ji netic?ja br?v?bai, vienl?dz?bai un demokr?tijai",vi?i v?l?j?s saglab?t sp?c?gu savas s?kotn?j?s etnisk?s identit?tes apzi?u,vi?i nebija gatavi pamest Dienvidu �tatus un p?rcelties uz Zieme?ameriku,pilson?bas sol?jums bija pretrun? ar past?v?gu diskrimin?ciju,D,sociology,,,,,,,,,,,,,,,,,
57,"Ja viena ska?as avota frekvence ir 500 Hz un otra ska?as avota frekvence ir 504 Hz, tad, abiem vi??iem savstarp?ji interfer?jot, sv?rst?bu frekvence b?s",2 Hz,4 Hz,8 Hz,16 Hz,B,conceptual_physics,,,,,,,,,,,,,,,,,
83,"Darbu pl?no�anas politika, kas ir br?va no ""bado�an?s"" (starvation-free), garant?, ka neviens darbs negaida bezgal?gi ilgi, lai tiktu apkalpots. Kura no �?d?m darbu pl?no�anas politik?m ir br?va no ""bado�an?s""?",Ap?veida rindas,Priorit?�u rindo�ana,Vis?s?kais darbs pirmais,Visjaun?kais darbs pirmais,A,college_computer_science,,,,,,,,,,,,,,,,,
1147,"V?rietim tika izvirz?tas aps?dz?bas pirm?s pak?pes slepkav?b?. Vi?am tika iecelti divi advok?ti, lai vi?u p?rst?v?tu, jo aps?dz?ba pl?noja vi?am piespriest n?vessodu. Pirmaj? tiesas procesa dien? tiesas z?l? nedarboj?s gaisa kondicionieris, t?p?c tiesnesis noteica, ka zv?rin?to atlase notiks vi?a kabinet?. ?emot v?r? lielo potenci?lo zv?rin?to skaitu, tiesnesis noteica, ka zv?rin?to atlases proces? piedal?s tikai viens aps?dz?bas advok?ts un viens advok?ts aizst?v?bai. Aps?dz?tais palika tiesas z?l? zv?rin?to nopratin?�anas laik?. Kad zv?rin?tie bija atlas?ti, tiesas process tika atlikts l?dz n?kamajai dienai, kad atkal darboj?s gaisa kondicion?�ana. Vai tiesas veiktais zv?rin?to atlases process p?rk?pa aps?dz?t? feder?l?s konstitucion?l?s ties?bas?","N?, jo aps?dz?t? ties?bas uz konfront?ciju attiecas tikai uz lieciniekiem, nevis zv?rin?tajiem.","N?, jo bija pamatots iemesls veikt zv?rin?to atlasi ?rpus aps?dz?t? kl?tb?tnes.","J?, jo aps?dz?t? izsl?g�ana apdraud nevain?guma prezumpciju.","J?, jo zv?rin?to atlase ir kritisks posms, kur? aps?dz?tajam ir ties?bas b?t kl?t.",D,professional_law,,,,,,,,,,,,,,,,,
272,P?c m?c?�an?s eks?menam apg?t? materi?la saglab?�anu vislab?k sekm?,gul?�ana,saist?ta m?c?bu priek�meta apguve,vingro�ana,ar to nesaist?ta m?c?bu priek�meta apguve,A,professional_psychology,,,,,,,,,,,,,,,,,
352,Kur� no �iem skait?iem ir starp 2 329 500 un 2 598 100?,2 249 550,2 589 200,2 329 333,2 327 900,B,elementary_mathematics,,,,,,,,,,,,,,,,,
12,"K?ds ir atlikums, ja $2^{87} +3$ dala ar $7$?",0,1,2,4,D,high_school_mathematics,,,,,,,,,,,,,,,,,
174,"Kur? no �iem diviem scen?rijiem galvenais varonis (kur� lieto es/j?/man) dara kaut ko, kas ir ac?mredzami mor?li nepareizs, saska?? ar parastaj?m mor?les norm?m ASV no 2020. gada? Scen?rijs | Es izpirku daudzdz?vok?u ?ku un t?s viet? izveidoju bezpajumtnieku patversmi. 2. scen?rijs | Kad mani vecvec?ki gul?ja, es aptraip?ju vi?u ve?u.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios,,,,,,,,,,,,,,,,,
18,Izv?lieties lab?ko tulkojumu predik?tu lo?ik?. Hos? iepaz?stina Vilmu ar Kevinu. (j: Jos�; k: Kevin; w: Wilma; Ixyz: x iepaz?stina y ar z),Iwkj,Ijwk,Iwjk,Ijkw,B,formal_logic,,,,,,,,,,,,,,,,,
9,"Atrodiet koeficientu 5,04/0,7",0.72,0.702,10.0571,7.2,D,elementary_mathematics,,,,,,,,,,,,,,,,,
159,Cik ir 7%?,0.007,0.07,0.7,7,B,elementary_mathematics,,,,,,,,,,,,,,,,,
93,"At�?ir?b? no Gareta H?rdina pieejas konf?cisma modelis noraida piespie�anu, jo",kolekt?v?s r?c?bas probl?mas nov?r�anas izmaksas nav nesvar?gas t?s risin?�an?,tas apstiprina indiv?du autonomiju neatkar?gi no citiem.,"tas nevar novest pie re?l?m soci?l?m p?rmai??m, kas ietver gan dom?�anas, gan r?c?bas p?rmai?as",Konf?cisma modelis faktiski pie?em piespie�anu.,B,moral_disputes,,,,,,,,,,,,,,,,,
104,"Lai samazin?tu vai nov?rstu izspie�anas efektu (crowding out), ekspans?vu fisk?lo politiku var papildin?t ar",vald?bas izdevumu palielin?�anu,ieguld?jumu samazin?�anu,ekspans?vu monet?ro politiku,kontrakcion?ru monet?ro politiku,C,high_school_macroeconomics,,,,,,,,,,,,,,,,,
189,Pie ?oti lieliem ?trumiem objekts miera st?vokl? eso�am nov?rot?jam �?iet,?s?ks kust?bas virzien?.,sa�aurin?ts visos virzienos.,?s?ks kust?bai perpendikul?r? virzien?.,gar?ks visos virzienos.,A,conceptual_physics,,,,,,,,,,,,,,,,,
11,K? atkl?ja retrov?rusus?,Vist?s k? Rousa sarkomu,Cilv?kos k? HTLV-1,"Pel?s, izraisot leik?miju","Ka?os, izraisot leik?miju",C,virology,,,,,,,,,,,,,,,,,
81,"Cik daudz palindromu (t?du pa�u uz priek�u un atpaka?) no 2 vai vair?k burtiem, kas satur burtu M, var izveidot, p?rk?rtojot jebkuru burtu apak�kopu MISSISSIPPI?",89,66,86,2012,A,high_school_mathematics,,,,,,,,,,,,,,,,,
87,""" _Ad novitatem_ "" ir","apgalvojums, ka tas, kas attiecas uz da�iem klases locek?iem, attiecas uz visiem klases locek?iem","secin?jumu izdar?�ana, piem?rojot neatbilsto�us krit?rijus k?dam priek�metam","atsevi�?u st?stu aizst?�ana ar liel?ku izlasi, lai pamatotu k?du apgalvojumu","apgalvojums, ka kaut kam j?b?t labam, jo tas ir jauns, vai sliktam, jo tas ir vecs",D,logical_fallacies,,,,,,,,,,,,,,,,,
122,"Sast?diet pilnu paties?bas tabulu �?dam argumentam. P?c tam, izmantojot paties?bas tabulu, nosakiet, vai arguments ir der?gs vai neder?gs. Ja arguments ir neder?gs, izv?lieties piem?ru, kas sniedz pretpier?d?jumu. (Var b?t ar? citi pretpier?d?jumi.)
(G ? H) - ~I
~G ? (~H ? I) / G",Der?gs,"Neder?gs. Pretpiem?rs, kad H un I ir patiesas, bet G ir nepatiesa","Neder?gs. Pretpiem?rs, kad H ir patiess, bet I un G ir nepatiesi","Neder?gs. Pretpiem?rs, kad H, I un G ir nepatiesi",D,formal_logic,,,,,,,,,,,,,,,,,
156,"Teoriju, ka apdz?votas vietas vai tirgus pils?tas galvenais m?r?is ir apg?d?t ar prec?m un pakalpojumiem apk?rt?jo tirgus zonu, sauc par",pils?tu hierarhijas teoriju.,centr?l?s vietas teorija.,koncentrisk?s zonas modelis.,multiplikatora efekts.,B,high_school_geography,,,,,,,,,,,,,,,,,
5,K?p?c veiksm?gam sabiedrisko attiec?bu konsultantam past?v?gi j?p?rskata organiz?cijas pa�reiz?j? un n?kotnes realit?te?,lai izstr?d?tu v?zijas izkl?stu,lai interpret?tu tendences vad?bai,lai interpret?tu organiz?cijas biznesa pl?nu,"lai apsv?rtu, k?da loma var?tu b?t sabiedriskaj?m attiec?b?m",B,public_relations,,,,,,,,,,,,,,,,,
249,"Nedzimu�u mugurkaulnieku, kas ir att?st?jies l?dz savai sugai rakstur?gai pamatstrukt?rai, sauc par",zigotu.,blastocistu.,embriju.,augli.,D,moral_disputes,,,,,,,,,,,,,,,,,
306,?stermi?a Filipsa l?kne att?lo ____ saist?bu starp ____ un ____.,pozit?vo cenu l?meni procentu likmi,negat?vo procentu likmi priv?tajiem ieguld?jumiem,negat?vo infl?cijas l?meni bezdarba l?meni,pozit?vo cenu l?meni re?lo IKP,C,high_school_macroeconomics,,,,,,,,,,,,,,,,,
171,Atrodiet skaitlim -7 pret?jo skaitli.,7,-7,"0,7","-7,7",A,elementary_mathematics,,,,,,,,,,,,,,,,,
106,"Kas notiek ar att?lu, ko veido ieliekts spogulis, kad priek�metu p?rvieto no t?lienes uz fokusa tuvumu?",Att?ls att?lin?s no spogu?a un k??st ?s?ks.,Att?ls att?lin?s no spogu?a un k??st augst?ks.,Att?ls virz?s uz spogu?a pusi un k??st ?s?ks.,Att?ls virz?s uz spogu?a pusi un k??st augst?ks.,B,high_school_physics,,,,,,,,,,,,,,,,,
97,"K?du terminu lieto, lai apz?m?tu nenov?r�amas pag?tnes izmaksas, kuras nevar main?t neatkar?gi no veikt?s darb?bas?",S?kotn?j?s izmaksas,Nogremd?t?s izmaksas,Iesp?ju izmaksas,Pieaugo�?s izmaksas,B,professional_accounting,,,,,,,,,,,,,,,,,
81,"Pie?emsim, ka f(x) ir funkcija, kuras grafiks iet caur s?kumpunktu. Ja f(2n) = n^2 + f[2(n - 1)] katram veselam n, k?da ir f(8) v?rt?ba?",24,30,32,36,B,college_mathematics,,,,,,,,,,,,,,,,,
174,"Cik daudzos p?rtikas pieg?des ??des posmos var izm?r?t p?rtikas pieejam?bu un pat?ri?u?
",10,5,2,4,B,nutrition,,,,,,,,,,,,,,,,,
63,Diviem veseliem skait?iem ir vismaz?kais kop?gais reizin?t?js 60. Katrs skaitlis ir maz?ks vai vien?ds ar 12. Abu skait?u liel?kais kop?gais reizin?t?js ir 2. K?di ir �ie divi skait?i?,6 un 10,5 un 12,10 un 12,12 un 15,C,elementary_mathematics,,,,,,,,,,,,,,,,,
0,"Der?gam disjunkt?vam silo?ismam ir galven? premisa, kas:",ietver divas vai vair?kas alternat?vas,klasific? subjektus,apstiprina antecedentu vai noliedz konsekvenci,noved pie der?ga secin?juma,A,logical_fallacies,,,,,,,,,,,,,,,,,
