Unnamed: 0,Question,A,B,C,D,Answer,Subject
4,"Atrodiet doto polinomu produktu dotajā polinoma gredzenā. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",2x^2 + 5,6x^2 + 4x + 6,0,x^2 + 1,B,abstract_algebra
20,"Raksturīgie rentgenstari, kas parādās kā asas līnijas uz nepārtraukta fona, rodas, kad augstas enerģijas elektroni bombardē metāla mērķi. Kurš no šiem procesiem rada raksturīgos rentgenstarus?","Elektroni, kas rada Čerenkova starojumu",Elektronu sadursme ar fononiem metālā,"Elektroni aizpilda iekšējās čaulas vakances, kas tiek radītas metāla atomos","Elektroni, kas apvienojas ar protoniem, veidojot neitronus",C,college_physics
1,Kurš no šiem faktoriem ir saistīts ar samazinātu Alcheimera slimības risku?,Afroamerikāņu vai spāņu izcelsmes amerikānis,Zivju ēšana,Zemāks izglītības līmenis,Precējies (-usies),B,human_aging
215,"Kopumā dzīvnieku šūnas atšķiras no augu šūnām ar to, ka dzīvnieku šūnām ir","šūnapvalks, kas izgatavots no celulozes",Not Translated[Lysosomes],"lielas vakuolas, kas uzkrāj ūdeni",centriolas centrosomās,D,high_school_biology
144,Kuri no šiem ir vakcinācijas mērķi?,Novērst inficēšanos,Novērst slimības,Novērst pārraidi,Visi iepriekš norādītie,D,virology
500,"Pircējs iesniedza federālo dažādības prasību pret pārdevēju, apgalvojot, ka ir pārkāpts līgums. Pārdevējs atbildēja uz sūdzību un kā atsevišķu aizstāvību iekļāva apgalvojumu, ka pircējs pirms trim gadiem bija cēlis un zaudējis līdzīgu līguma prasību pret citu pārdevēju un ka šī vēsture bija vieglu tiesas prāvu iesniegšanas modelis. Pircējs uzskata, ka agrākā tiesvedība faktiski bija pilnīgi atšķirīga no pašreizējās un tāpēc tai nav nozīmes. Kas vai pircējs vislabāk reaģē uz pārdevēja atbildi?","Iesniedziet atbildi, kurā ietverts atsevišķās aizstāvības atteikums.",Prasīt sankcijas pret pārdevēju par vieglprātīgu aizstāvību.,"Pārvietojieties, lai grozītu sūdzību, pievienojot apgalvojumus par atšķirībām starp tiesas prāvām.","Pārvietojieties, lai atsevišķo aizsardzību uzskatītu par neatbilstošu.",D,professional_law
44,"""Izstumšanas"" efekts attiecas uz kuru no šiem?","Zemākas procentu likmes, kas izriet no aizņemšanās, lai īstenotu ekspansīvu monetāro politiku","Augstākas procentu likmes, kas izriet no aizņēmumiem, lai īstenotu kontrakcionāru fiskālo politiku","Augstākas procentu likmes, kas izriet no aizņemšanās, lai īstenotu ekspansīvu fiskālo politiku","Augstākas procentu likmes aizņēmumu dēļ, lai īstenotu kontrakcionāru monetāro politiku",C,high_school_macroeconomics
807,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es pasniedzu klientam viņa hamburgeru ar nagu atgriezumiem un dubulto kečupu. 2. scenārijs | Klienta sviestmaizei pievienoju krītu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",A,moral_scenarios
1129,"Federālais likums padara par noziegumu ikvienu ""apzināti"" izmantot, nodot, iegādāties, mainīt vai turēt pārtikas zīmogus jebkādā veidā, kas nav atļauts ar likumu vai federālajiem noteikumiem. Restorāna īpašnieks vairākas reizes iegādājās pārtikas pastmarkas no slepenā federālā aģenta par cenu, kas ir zemāka par nominālvērtību. Tiesā tiesnesis atteicās apsūdzēt zvērinātos, ka tas ir konkrēts tīšs noziegums, kas prasa pierādījumus, ka atbildētājs zināja, ka viņš rīkojas nelikumīgi. Valdība mudināja, lai neviens mens rea jeb ""ļaunais... tas nozīmē, ka prāts"" bija jāpierāda. Tiesa vienkārši teica zvērinātajiem, ka ""apzināti"" nozīmē, ka atbildētājs saprata, ko viņš dara, un nerīkojās nezināšanas, kļūdas vai negadījuma dēļ. Īpašnieks tika notiesāts un pārsūdzēts. Ko federālā apelācijas tiesa, visticamāk, lems par zemākās instances tiesas interpretāciju par noziedzīgu nodomu, kas nepieciešams saskaņā ar statūtiem?","Daži statūti ir rakstīti bez nepieciešamības pierādīt kādu konkrētu mens rea, un šis nolikums, šķiet, ir viens no tiem, padarot tiesas norādījumus atbilstošus.","Ja viss, kas ir pieejams attiecībā uz nodomu, ir vārda ""apzināti"" lietošana, prokuratūrai ir vismaz jāpierāda, ka atbildētājs zināja, ka viņa rīcība ir neatļauta ar likumu vai noteikumiem.","Tas ir stingras atbildības noziegums, kam nav nepieciešami pierādījumi par kriminālām zināšanām vai konkrētu noziedzīgu nodomu.","Prokuratūrai ir jāpierāda, ka atbildētājam bija īpašas zināšanas par precīziem federālā pārtikas zīmogu likuma noteikumiem un konkrētām darbībām, kas bija aizliegtas.",B,professional_law
668,"Vīrietis tika pratināts kā aizdomās par bērna slepkavību turētais. Sākotnēji policija viņam iesniedza rakstisku Mirandas tiesību sarakstu. Viņi lika viņam izlasīt sarakstu skaļi, ko viņš arī izdarīja. Tad viņi viņam jautāja, vai viņš saprot tiesības klusēt un uz advokāta klātbūtni, un viņš piekrītoši pamāja ar galvu. Viņš atteicās parakstīt rakstu, bet neprasīja advokātu. Nākamo trīs stundu laikā viņi viņu nopratināja un saņēma maz atbilžu; viņš lielākoties klusēja, bet atbildēja reizes ar ""nē"" vai ""jā"" vai galvas pamāšanu. Tad viens no detektīviem viņam jautāja, vai viņš ir gatavs lūgt Dievam piedošanu par bērna nogalināšanu. Viņa acis tīra asaras, un viņš teica: ""Jā."" Tas atklāja turpmāku iztaujāšanu, kas noveda pie viņa vainas atzīšanas. Viņš neparakstītu rakstisku atzīšanos vai atteikšanos no tiesībām klusēt. Viņš tika arestēts par slepkavību un pārvietots, lai apspiestu atzīšanos. Vai tiesa atcels atzīšanos kā netīšu?","Nē, apstākļi liecina, ka viņš saprata, ka viņš varētu pārtraukt nopratināšanu un iegūt advokātu, bet viņš to nedarīja.","Nē, ikreiz, kad aizdomās turētajam tiek izsniegts rakstisks Mirandas brīdinājumu saraksts un viņš neprasa advokātu, tas ir pierādījums, ka aizdomās turētais pilnībā saprot savas tiesības.","Jā, grēksūdze ir jāaptur, jo viņš tika nopratināts vairāk nekā trīs stundas, padarot visu, ko viņš teica, būtībā piespiedu kārtā.","Jā, reliģiskas maldināšanas izmantošana, lai panāktu, ka aizdomās turētais atzīstas noziegumā, padara atzīšanos piespiedu.",A,professional_law
318,"Zemniekam pieder liela saimniecība, kurā viņš ļauj saviem draugiem medīt paipalu medību sezonā. Viņš nesniedz saviem draugiem nekādus norādījumus par ieroču drošību. Kaimiņš, kuram pieder īpašums, kas atrodas blakus zemnieku saimniecībai, zina par to, kā draugi izmanto īpašumu medību sezonā. Kādu dienu medību sezonas laikā, bez lauksaimnieka ziņas vai atļaujas, kaimiņš veica īsceļu pāri saimniecībai, lai apciemotu paziņu. Kaimiņu ievainoja šāviens, ko izšāva viens no farmiem r draugi, kuri šāva uz paipalām un neuzmanīgi neredzēja kaimiņu. Piemēro tradicionālos noteikumus par zemes īpašnieku un iemītnieku atbildību. Vai kaimiņa darbībā pret lauksaimnieku, lai atveseļotos par traumām, kaimiņš, visticamāk, gūs virsroku?","Nē, jo lauksaimnieks nav atbildīgs par savu draugu rīcību.","Nē, jo kaimiņš pārkāpa.","Jā, jo neuzmanīgajam draugam bija atļauts medīt bez drošības apmācības.","Jā, jo šaujamieroču lietošana ir neparasti bīstama darbība.",B,professional_law
1299,"Valsts nesen ir pieņēmusi likumu, kas aizliedz pārdot datoru printeru tintes kasetnes plastmasas maisiņos. Saskaņā ar jauno likumu visas tintes kasetnes valstī ir jāpārdod papīra kastēs, kas ir pārstrādājamas. Pirms likuma pieņemšanas aptuveni 28% no visām valstī izmantotajām tintes kasetnēm bija iepakotas plastmasas maisiņos. No šī kopskaita 75% tintes kasetņu bija iepakotas ārpus štata, bet 25% iepakoja uzņēmumi štatā. Likumdevējs pieņēma likumprojektu uz papīra rūpniecības spēcīgo pamudinājumu. Tika lēsts, ka viens papīra uzņēmums vien iztērēja vairāk nekā 5 000 000 ASV dolāru savā lobēšanas kampaņā, lai pieņemtu likumprojektu. Ironiski, ka jaunais likums pat saņēma spēcīgu atbalstu no vides aizstāvjiem, kuri uzskatīja, ka pārstrādājams papīrs palīdzēs novērst piegružošanu. Pieņemsim, ka štata Augstākā tiesa atzīst likumu par antikonstitucionālu, pamatojoties uz to, ka tas pārkāpj gan federālās, gan štata Konstitūcijas līgumu klauzulas. Līgumi štata Konstitūcijas klauzula ir līdzīga federālās Konstitūcijas klauzulai. Tiesa tā nosprieda, jo tās spriedums ar atpakaļejošu datumu mazina plastmasas maisiņu iepakotāju spēju ievērot esošos līgumus par plastmasas maisiņos iepakotu tintes kasetņu pārdošanu. Tagad ģenerālprokurors lūdz šo lēmumu pārskatīt ASV Augstākajā tiesā. Kā ASV Augstākajai tiesai būtu jālemj par šo lietu?","Atteikties izskatīt šo lietu pēc būtības, jo zemāk pieņemtajam lēmumam ir atbilstošs un neatkarīgs valsts pamatojums.","Atcelt lēmumu pēc būtības attiecībā uz valsts konstitucionālo jautājumu, jo zemāk sniegtā federālā konstitucionālā rīcība padara šādu valsts konstitucionālo lēmumu nevajadzīgu.",Apstiprināt lēmumu pēc būtības attiecībā uz federālo konstitucionālo jautājumu un atturēties no valsts konstitucionālā jautājuma izskatīšanas.,"Apstiprināt lēmumu pēc būtības gan attiecībā uz federālajiem, gan štata konstitucionālajiem jautājumiem, jo štata konstitūcijai šajā jautājumā ir būtiski jāatbilst federālajai konstitūcijai.",A,professional_law
88,Trijādību uz krāsu ripas var raksturot kā,trīs analogas krāsas,trīs krāsas vienādā attālumā viena no otras,trīs vienādas vērtības krāsas,papildu komplekts,B,miscellaneous
231,"Līknei, ko definē x^3 + xy - y^2 = 10, ir vertikāla pieskares līnija, ja x =",0 vai –1/3,1.037,"2,074","2,096",C,high_school_mathematics
421,"Saskaņā ar Ābrahama Maslova teikto, lai apmierinātu",piederības vajadzības,fizioloģiskās vajadzības,pašaktualizācijas vajadzības,mīlestības vajadzības,C,high_school_psychology
109,Kāds bija dominējošais priekšstats pirms Laiela un Darvina laikiem?,"Zeme ir dažus tūkstošus gadu veca, un populācijas nemainās.","Zeme ir dažus tūkstošus gadu veca, un populācijas pakāpeniski mainās.","Zeme ir miljoniem gadu veca, un populācijas strauji mainās.","Zeme ir miljoniem gadu veca, un populācijas nemainās.",A,high_school_biology
148,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es ieliku pīrāgu cepeškrāsnī uz 35 minūtēm. 2. scenārijs | Reiz es aplaistīju sava kaimiņa zālienu, jo viņš man samaksāja par visu vasaru, kad viņš bija prom.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios
132,"Visiem reālajiem skaitļiem $r$ un $s$ definējiet matemātisko darbību $\#$, lai tiktu piemēroti šādi nosacījumi: $r\\ #\ 0 = r, r\ \#\ s = s\ \#\ r$ un $(r + 1)\ \#\ s = (r\ \#\ s) + s + 1 $. Kāda ir vērtība 11\\ #\ 5 $?",11,12,64,71 ,D,high_school_mathematics
87,"Šis jautājums attiecas uz šādu informāciju.
Savas varas virsotnē mongoļu kanu vai valdnieku domēni veidoja plašu valstību, kurā kādreiz naidīgās tautas dzīvoja kopā mierā un tika pieļautas gandrīz visas reliģijas.. . . Likuma kodekss, ko pirmo reizi izsludināja Chinggis Khan, lika cilvēkiem mijiedarboties. Rezultāts bija svarīgs jauns posms starptautiskajā saskarsmē. No Austrumeiropas līdz Ķīnas dienvidiem tirgotāji un ceļotāji varētu pārvietoties pa labi pārvaldītajām mongoļu teritorijām nebaidoties par savu dzīvību vai īpašumu. Mongoļu teritorijas lielais laukums, kas aptvēra vai savienoja lielāko daļu Eiropas, Āzijas un Tuvo Austrumu, kalpoja kā tilts starp Austrumu puslodes civilizācijām. Karavānas un vēstniecības, kas šķērsoja mongoļu zemes, pārnesa jaunu pārtiku, izgudrojumus un idejas no viena civilizēta baseina uz citiem un no civilizētiem baseiniem uz klejotāju tautām, kas kalpoja kā starpnieki. Droši tirdzniecības ceļi, kas paredzēti pārtikušiem tirgotājiem un turīgiem, kosmopiem olitānas pilsētas. Tās arī veicināja pārtikas produktu [un] izgudrojumu izplatīšanos. .. galvenais ekonomiskās un sociālās attīstības un civilizētās dzīves uzlabošanas spēks.
—Robert Guisepi, 1992
Kurš apgalvojums visprecīzāk salīdzina mongoļu (postklasisko) impēriju ar persiešu (klasisko) impēriju?","Gan mongoļi, gan persieši ļāva iekarotajām tautām saglabāt savas vietējās tradīcijas un kultūras.","Mongoļi ieguldīja lielizmēra pieminekļu celtniecībā, bet persieši koncentrējās uz sabiedriskajiem darbiem.","Gan persieši, gan mongoļi uzlaboja sieviešu sociālo, ekonomisko un juridisko statusu.","Mongoļi izveidoja jaunu sinkrētisku ticības sistēmu, bet persieši saglabāja tradicionālu monoteistisku reliģiju.",A,high_school_world_history
311,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Kā terapeits es strādāju ar daudziem pacientiem, kuri kopā ar mani uztic dziļi personiskus faktus par savu dzīvi, tāpēc es nedrīkstu teikt viņu ģimenēm neko, ko es dzirdu. 2. scenārijs | Es iestūmu māsu uz šūpolēm parkā.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios
49,"Iekļaujot piedāvājumā vairāk nekā vienu prasību, var rasties kāda no šīm kļūdām?",Sarežģīts jautājums,Apelēšana pie nezināšanas,Salikts piedāvājums,Paplašinājums,C,logical_fallacies
1335,"Tika novērots, ka atbildētājs pamet Kaimiņa pagalmu ar Kaimiņa jauno dārza šļūteni 10 ASV dolāru vērtībā. Kaimiņš izsauca policiju, kas apsūdzēja atbildētāju otrās pakāpes pārkāpumā par sīku zādzību, nosūtot viņam paziņojumu ierasties apgabala tiesas namā nedēļu vēlāk. Atbildētājs ieradās paredzētajā vietā un laikā un lūdza tiesnesi iecelt advokātu, kas viņu pārstāvētu. Tiesnesis atzina atbildētāju par mazturīgu. Tiesnesis",jāieceļ atbildētājam advokāts.,"jāieceļ atbildētājam advokāts, ja valsts pēc tam apsūdz atbildētāju ar informāciju.","nav jāieceļ atbildētājam advokāts, ja tiesnesis rakstiski norāda, ka notiesāšanas gadījumā atbildētājs cietumā nesēdēs ilgāk par sešiem mēnešiem.","nav jāieceļ atbildētājam advokāts, ja tiesnesis rakstiski norāda, ka notiesāšanas gadījumā atbildētājs cietumā vispār neies.",D,professional_law
207,"Šis jautājums attiecas uz šādu informāciju.
1. avots:
""Venecuēlas Suverēnais kongress, kuram Jaunās Granādas Republikas iedzīvotāji ir brīvprātīgi piekrituši.
Ņemot vērā:
1. ""Vienotā Republikā apvienotajām Venecuēlas un Jaunās Granādas provincēm ir visas proporcijas un veidi, kā paaugstināt sevi līdz augstākai varas un labklājības pakāpei.
2. ""Tas veidojās atsevišķās republikās, jo spēcīgākas saites tās ir apvienojušas, līdz šim no izmantojot tik daudzas priekšrocības, viņi diez vai konsolidētu un ievērotu savu suverenitāti.
3. ""Ka šīs patiesības, kurās ļoti iespiedušies izcili talantīgi vīrieši un apgaismots patriotisms, bija pamudinājušas abu republiku valdības sapulcēties salidojumā, ko karu nelaimes lēma un dekrēja šādu Kolumbijas Republikas pamatlikumu:
1. PANTS. Venecuēlas Republikas un Jaunā Granāda no šīs dienas ir apvienotas vienā zem krāšņās kolumbijas Republikas nosaukums….
4.PANTS. Republikas izpildvara tiks piešķirta prezidentam, un viņa defekta gadījumā viceprezidentu un viņa aizvietotāju uz laiku iecels Kongresa priekšsēdētājs.""
Grankolombijas dibināšanas pamatlikums, ko pieņēma Saimona Bolivāra sasauktais Angosturas kongress, 1819. gads
2. avots:
""SVĒTĀS TRĪSVIENĪBAS VĀRDĀ.
1. SADAĻA - Brazīlijas impērija, tās teritorijas, valdība, dinastija un reliģija.
1. pants. Brazīlijas IMPĒRIJA I politiskā asociācija visiem Brazīlijas pilsoņiem. Tie veidos brīvu un neatkarīgu nāciju un neveidos nekādu citu savienību vai federāciju, kas var izraisīt tās neatkarības zaudēšanu.
2.pants. Tās teritorija ir sadalīta provincēs tādā formā, kādā tā pašlaik atrodas; tās var iedalīt sīkāk, kā tas ir nepieciešams valsts labā.
Art. 3. Tās valdība ir iedzimta monarhija, konstitucionāla un pārstāvnieciska.
4. pants. Valdošā dinastija ir Kunga dinastija Dom Pedro I, Brazīlijas imperators un pastāvīgais aizstāvis.
5. pants. Katoļu apustuliskā Romas reliģija joprojām būs impērijas reliģija. Visu citu reliģiju sekotājiem ir atļauts pielūgt savas mājas vai konkrētas mājas šim nolūkam, ja vien nekas par to neliecina tempļa ārpusē.""
Brazīlijas impērijas konstitūcija, 1824. gada 25. marts
Kurš no turpmāk minētajiem visvairāk apdraudētu Sour 1. pantā paustās cerības ce 1?",Amerikas Savienoto Valstu un Eiropas lielvaru iejaukšanās Latīņamerikas valstu neatkarībā,Nacionālisms Latīņamerikā uzstāj uz spēcīgāku vienotību starp bijušajām Spānijas kolonijām Dienvidamerikā,"Vergu sacelšanās, kas sadrumstalo nesen neatkarīgās Latīņamerikas valstis",Elites sekcionisms dažādās nesen neatkarīgo Latīņamerikas valstu teritorijās,D,high_school_world_history
153,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es valkāju masku veikalā, jo nevēlējos neko noķert, pērkot preces. 2. scenārijs | Eksāmena vidū es lūdzu atļauju iet uz vannas istabu, tad aizgāju uz vannas istabu un piezvanīju draugam, lai parunātu par eksāmenu, tad atgriezos, lai pabeigtu eksāmenu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios
141,"Novērtējiet (c^2 − b^2)^2 + a^2, ja a = 5, b = 3 un c = 2.",194,18,50,0,C,elementary_mathematics
84,Kurš no šiem NAV viens no 3 postkoloniālisma identificētajiem vardarbības veidiem?,Materiālā vardarbība.,Epistēmiska vardarbība.,Strukturālā vardarbība.,Pervazīva vardarbība.,D,security_studies
418,"Receptori, kas reaģē uz gravitāciju un informē jūs par jūsu ķermeņa atrašanās vietu telpā, galvenokārt atrodas",auss gliemežnīca,acs makula,Ožas apvidus gļotāda,skeleta muskuļi un locītavas,D,high_school_psychology
1181,"Kravas automašīnas vadītājs nolaidīgi mainīja braukšanas joslas uz šosejas, nepārbaudot, vai tas ir skaidrs. Rezultātā automašīna, kas atradās blakus kravas automašīnai, tika izspiesta no šosejas un ietriecās betona barjerā gar ceļu. Automašīnas vadītājs cieta no lauztas kājas. Ieradās ātrā palīdzība un steidzās uz slimnīcu. Ārsts tur pārbaudīja lauzto kāju un lika veikt rentgenstarojumu. Ārsts neuzmanīgi nepareizi nolasīja rentgenstarus un nepareizi uzstādīja lauzto kaulu. Sakarā ar oktora nolaidības dēļ autovadītāja kāja nekad nav pilnībā sadzijusi, un autovadītājam ir radušies būtiski kājas izmantošanas traucējumi. Ja automašīnas vadītājs ceļ nolaidības prasību pret kravas automašīnas vadītāju, visticamākais rezultāts ir","kravas automašīnas vadītājs nebūs atbildīgs par jebkādiem zaudējumiem, jo ārsta nolaidība bija aizstājošs iemesls, kas atbrīvoja kravas automašīnas vadītāju no atbildības.","kravas automašīnas vadītājs būs atbildīgs par kaitējumu, kas radies prasītājam, kad viņa automašīna avarēja, bet ne par papildu vai pastiprinātu kaitējumu, kas radies ārsta neuzmanības kļūdas dēļ.","kravas automašīnas vadītājs ir atbildīgs tikai tad, ja žūrija uzskata, ka viņa nolaidība ir smagāka nekā ārsta nolaidība.","kravas automašīnas vadītājs būs atbildīgs par visu prasītājam nodarīto kaitējumu, lai gan ārsts var būt atbildīgs arī zināmā mērā.",D,professional_law
247,"Objektam, kas pārvietojas pa līniju, ir ātrums v(t) = t cos(t) - ln (t + 2), kur 0 <= t <= 10. Cik reižu objekts maina virzienu?",nemaz,viens,divi,trīs,C,high_school_mathematics
119,"Šis jautājums attiecas uz šādu informāciju.
""Purusa-Sukta""
Purusa ir nemirstīgo pavēlnieks, kas aug ar [rituāla] pārtiku. Kad dievi veica upuri ar upuri Purusa, pavasaris bija tā dzidrinātais sviests, vasara - iedegums, rudens - ziedojums.
Tā bija Purusa, dzimusi sākumā, ko viņi uzsmērēja uz svētās zāles kā upuri. Tas radīja gaisa zvērus, mežu un ciematu. No šī pilnībā piedāvātā upura mantras [Rig Veda] un piedzima dziesmas [Samaveda]. No tā radās upurēšanas formulas [jadžurvēda]. No tā dzima zirgi un visi, kam abos žokļos ir griezējzobi. No tā arī ir dzimušas govis. No tās dzima kazas un aitas.
Kad viņi sadalīja Purusu, cik daudzos veidos viņi viņu sadalīja? Kāda bija viņa mute? Kādas bija viņa rokas? Kādas bija viņa augšstilbi, kādas bija viņa pēdas? Viņa mute bija Brahmans, viņa rokas bija Radžanaja [Ksatrija], viņa augšstilbi - Vaizija; no viņa kājām Sudra bija bors n. Tādējādi viņi veidoja pasaules. Dievi upurēja ar upuri upurim. Šie bija pirmie rituāli.
-Himmas, kas izrakstītas un adaptētas no Rig Veda, vecākais izdzīvojušais literārais darbs, Indija, 1500.-1000. gads pirms mūsu ēras
Kuru hinduisma reliģijas elementu var izmantot, lai izskaidrotu šo fragmentu?",Vienīgā prasība pestīšanai ir ticība,Vides pārvaldības nozīme,Upurēšanas nozīme dieviem,"Uzsvars uz karmu vai pareizām darbībām, lai sasniegtu apgaismību",C,high_school_world_history
828,"Atbildētājs spēlēja kārtis ar draugu grupu savā iknedēļas pokera spēlē. Agrāk vakarā viens no spēlētājiem iedeva apsūdzētajam ieroci un pateica, ka tas ir izlādēts. Joks bija tāds, ka apsūdzētais pavērsa ieroci pret vienu no saviem draugiem un nospieda mēlīti. Nezinot atbildētāju, ierocis tika pielādēts un izvadīts. Lode saķēra drauga plecu, nedaudz ievainojot viņu. Apsūdzētais tika apsūdzēts par uzbrukumu ar nolūku nogalināt. Šajā jurisdikcijā akumulators ir mazāks iekļauts uzbrukuma pārkāpums. Tiesā atbildētājs pieprasīja, lai tiesa dod norādījumus zvērinātajiem, ka, ja viņa kļūda būtu godīga, saprātīga vai nepamatota, tā būtu pamatota aizstāvība pret uzbrukumu un mazākais ietvertu akumulatora nodarījumu. Turpretī prokuratūra vēlējās, lai tiesa uzdod zvērinātajiem, ka, lai atbildētāja kļūda būtu pamatota aizstāvība pret jebkuru noziegumu, tai jābūt saprātīgai. Attiecībā uz žūrijas norādījumiem, kurš no šiem apgalvojumiem ir visprecīzākais ?","Atbildētājam ir taisnība attiecībā uz uzbrukumu, un apsūdzībai ir taisnība attiecībā uz akumulatoru.","Atbildētājam ir taisnība attiecībā uz akumulatoru, un apsūdzībai ir taisnība attiecībā uz uzbrukumu.","Apsūdzība ir pareiza gan attiecībā uz akumulatora, gan uzbrukuma uzlādi.","Atbildētājam ir taisnība gan attiecībā uz akumulatora, gan uzbrukuma uzlādi.",A,professional_law
369,Audzēknim ir 3 puzles. Katrā puzlē ir 1250 gabali. Kāds ir kopējais puzles gabalu skaits?,3650,3750,4650,4750,B,elementary_mathematics
47,Kurš no šiem ir vadošais rakstnieks par neparedzēto gadījumu teoriju?,Rosabeth Kanter,Džoana Vudvorda,Rensis Likert,Freds Fīdlers,D,management
157,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Pagājušajā nedēļā es paņēmu savu meitu, lai viņai caurdurtu ausis. 2. scenārijs | Es izstrādāju zāles, kas balstītas uz zinātniskiem atklājumiem.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios
513,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš izmanto mani/mani) dara kaut ko acīmredzami morāli nepareizu, saskaņā ar parastajiem morāles standartiem ASV no 2020. gada? 1. scenārijs | Es zināju, ka pareizā rīcība ir pārvērst pazaudēto maku policijas nodaļā, bet es devos tieši uz banku, lai iemaksātu tajā esošo naudu. 2. scenārijs | Pagājušajā naktī es pastaigājos ar suņiem 20 stundas.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",A,moral_scenarios
51,"Sadursmē A divi ratiņi saduras un atlec viens no otra. Sadursmē B bumba pielīp pie stingra stieņa, kas sāk rotēt ap apvienoto masas centru. Kurš no šiem apgalvojumiem par daudzumiem katrā sadursmē ir pareizs?","Sadursme A: katrs ratiņš piedzīvo vienādu spēku, sadursmes laiku un kinētiskās enerģijas izmaiņas. Sadursme B: bumba un stienis piedzīvo vienu un to pašu griezes momentu, sadursmes laiku un rotācijas kinētiskās enerģijas izmaiņas.","Sadursme A: katram ratiņam ir vienāds spēks, sadursmes laiks un lineārā impulsa izmaiņas. Sadursme B: lodīte un stienis izjūt vienādu griezes momentu, sadursmes laiku un leņķiskā momenta izmaiņas.","Sadursme A: katrs ratiņš piedzīvo vienādu spēku, sadursmes laiku un kinētiskās enerģijas izmaiņas. Sadursme B: lodīte un stienis izjūt vienādu griezes momentu, sadursmes laiku un leņķiskā momenta izmaiņas.","Sadursme A: katram ratiņam ir vienāds spēks, sadursmes laiks un ātruma izmaiņas. Sadursme B: bumba un stienis piedzīvo vienu un to pašu griezes momentu, sadursmes laiku un leņķiskā ātruma izmaiņas",B,high_school_physics
125,"Kurš no šiem ir tiešais enerģijas avots, kas ļauj ATP sintāzei ražot ATP mitohondrijos?","NADH, kas difundē no mitohondriju starpmembrānu telpas uz matricu",NAD + samazināšana piruvāta pārveidošanās par acetil-CoA laikā,H+ joni plūst pa gradientu pāri mitohondriju iekšējai membrānai,"Elektronu enerģija, kas šķērso elektronu transporta ķēdi",C,high_school_biology
67,"Saskaņā ar Reiman, van den Haag argumentiem par labu nāves sodam",nav savienojami ar tiesībām uz pretpasākumiem.,"pierādīt, ka spīdzināšana ir morāli nepieļaujama.",būtu jāpieņem.,sekot veselajam saprātam.,D,moral_disputes
439,"Psihologs ievieto reklāmu vietējā laikrakstā, pieprasot garantētu trauksmes ārstēšanu.","Reklāma nav ētiska, jo psihologiem nav atļauts reklamēties","Reklāma ir ētiska, jo psihologs ir izcils psihologs","Reklāma ir neētiska, jo tā sniedz maldinošus apgalvojumus par efektivitāti","Reklāma ir ētiska, jo pat psihologus aizsargā Pirmais grozījums, kas aizsargā vārda brīvību",C,professional_psychology
